"","HF.Rep.1","TTA.FO.Rep.1","FO.Rep.2","TTA.Rep.3","TTA.Rep.1","HF.Rep.2","TTA.FO.Rep.2","FO.Rep.3","FO.Rep.1","TTA.Rep.2","HF.Rep.3","TTA.FO.Rep.3","log-ratios .Rep. vs .Rep.1","log-ratios C3 vs .Rep.1","log-ratios .Rep.3 vs .Rep.1","log-ratios C3 vs .Rep.","log-ratios .Rep.3 vs .Rep.","log-ratios .Rep.3 vs C3","p-values limma .Rep. vs .Rep.1","p-values limma C3 vs .Rep.1","p-values limma .Rep.3 vs .Rep.1","p-values limma C3 vs .Rep.","p-values limma .Rep.3 vs .Rep.","p-values limma .Rep.3 vs C3","p-values Miss test .Rep. vs .Rep.1","p-values Miss test C3 vs .Rep.1","p-values Miss test .Rep.3 vs .Rep.1","p-values Miss test C3 vs .Rep.","p-values Miss test .Rep.3 vs .Rep.","p-values Miss test .Rep.3 vs C3","p-values rank products .Rep. vs .Rep.1","p-values rank products C3 vs .Rep.1","p-values rank products .Rep.3 vs .Rep.1","p-values rank products C3 vs .Rep.","p-values rank products .Rep.3 vs .Rep.","p-values rank products .Rep.3 vs C3","p-values permutation test .Rep. vs .Rep.1","p-values permutation test C3 vs .Rep.1","p-values permutation test .Rep.3 vs .Rep.1","p-values permutation test C3 vs .Rep.","p-values permutation test .Rep.3 vs .Rep.","p-values permutation test .Rep.3 vs C3","p-values t-test .Rep. vs .Rep.1","p-values t-test C3 vs .Rep.1","p-values t-test .Rep.3 vs .Rep.1","p-values t-test C3 vs .Rep.","p-values t-test .Rep.3 vs .Rep.","p-values t-test .Rep.3 vs C3","q-values PolySTest .Rep. vs .Rep.1","q-values PolySTest C3 vs .Rep.1","q-values PolySTest .Rep.3 vs .Rep.1","q-values PolySTest C3 vs .Rep.","q-values PolySTest .Rep.3 vs .Rep.","q-values PolySTest .Rep.3 vs C3","q-values limma .Rep. vs .Rep.1","q-values limma C3 vs .Rep.1","q-values limma .Rep.3 vs .Rep.1","q-values limma C3 vs .Rep.","q-values limma .Rep.3 vs .Rep.","q-values limma .Rep.3 vs C3","q-values Miss test .Rep. vs .Rep.1","q-values Miss test C3 vs .Rep.1","q-values Miss test .Rep.3 vs .Rep.1","q-values Miss test C3 vs .Rep.","q-values Miss test .Rep.3 vs .Rep.","q-values Miss test .Rep.3 vs C3","q-values rank products .Rep. vs .Rep.1","q-values rank products C3 vs .Rep.1","q-values rank products .Rep.3 vs .Rep.1","q-values rank products C3 vs .Rep.","q-values rank products .Rep.3 vs .Rep.","q-values rank products .Rep.3 vs C3","q-values permutation test .Rep. vs .Rep.1","q-values permutation test C3 vs .Rep.1","q-values permutation test .Rep.3 vs .Rep.1","q-values permutation test C3 vs .Rep.","q-values permutation test .Rep.3 vs .Rep.","q-values permutation test .Rep.3 vs C3","q-values t-test .Rep. vs .Rep.1","q-values t-test C3 vs .Rep.1","q-values t-test .Rep.3 vs .Rep.1","q-values t-test C3 vs .Rep.","q-values t-test .Rep.3 vs .Rep.","q-values t-test .Rep.3 vs C3"
"feature 1",-0.0277967998,0.2644644037,NA,NA,-0.0270594235,NA,NA,NA,-0.3002030066,NA,NA,NA,0.382817480333333,NA,NA,NA,NA,NA,0.147078844383214,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 2",0.0481386393,0.2354957748,NA,NA,-0.1690967953,NA,NA,NA,-0.0692033187,NA,NA,NA,0.298882933033333,NA,NA,NA,NA,NA,0.198256705111528,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 3",0.4615707061,0.0808386809,0.3211096844,-0.2393251768,-0.7500572739,0.4649272631,-0.0663657287,-0.2067686211,0.4215763157,-0.1667008773,0.3937540823,0.0594791884,0.0819917729333333,0.171802763366667,-0.1732347858,0.0898109904333333,-0.255226558733333,-0.345037549166667,0.793245310328896,0.585076200116636,0.581999246713938,0.774116907999678,0.421459642509153,0.283405611712355,1,0.0934949131246251,0.0786186213655374,1,0.545168895287828,0.114818539297623,0.897368550923732,0.908855919954172,0.962847690318362,0.700759108097437,0.368170323642891,0.208394532694815,0.829170829170829,0.678321678321678,0.714285714285714,0.529470529470529,0.273726273726274,0.21978021978022,0.864106355876793,0.716276414843924,0.709015367878838,0.720339316405192,0.305022605754704,0.12491963025308,1,1,0.950411778285607,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,0.491149243195455,0.237602944571402,1,1,1,1,1,1,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 4",-0.019566896,0.2170181238,-0.0686570265,0.0883440943,-0.1218971684,0.0227086242,-0.0034907955,0.0562073646,-0.0671155127,0.0179514949,0.1999909117,-0.0731335107,0.155419273333333,0.112140888933333,0.0933325084333333,-0.0432783844,-0.0620867649,-0.0188083805,0.184569843577634,0.328268147789762,0.412430165726326,0.700093959804429,0.582033605482854,0.866649949655727,0.113511967748233,0.732804966380187,0.640034951099519,0.692922535484721,1,1,0.251804109308725,0.258458227790434,0.184934744436402,0.684143197975776,0.678816508974567,0.602819782048686,0.18981018981019,0.661338661338661,0.362637362637363,0.999000999000999,0.737262737262737,0.646353646353646,0.126577741277269,0.299014201808827,0.195607477519649,0.699921443418319,0.494476338265621,0.854264229248768,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.832333495795726,0.902419883480947,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 5",0.2936658772,-0.0533337399,NA,NA,0.0532100156,NA,NA,NA,-0.2935421529,NA,NA,NA,-0.0711116532,NA,NA,NA,NA,NA,0.819699476609854,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 6",-0.0535483953,0.0340262478,0.0029697172,-0.1398579669,0.0789590533,0.0410262671,-0.0557914174,0.0522007306,-0.0569234692,-0.0568309877,0.0154293507,-0.0738170377,0.0165781128,-0.0019598461,-0.0433204876,-0.0185379589,-0.0598986004,-0.0413606415,0.864654482019224,0.983911443908437,0.65739649397763,0.848864318840385,0.541542991993986,0.671834004538272,1,1,0.7497115385468,0.678464173513568,0.742392388786264,0.738310517385021,0.706169865607136,0.734871079821976,0.813276398041587,0.640015639397453,0.63993283424121,0.704317118288872,0.66033966033966,0.895104895104895,0.897102897102897,0.821178821178821,0.848151848151848,0.976023976023976,0.778670353398851,0.971174411953073,0.581103980268365,0.657452837753201,0.419119858882926,0.550005664283868,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.829415667865252,1,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 7",NA,NA,0.4665244279,NA,NA,-0.2098372243,-0.3054612041,NA,NA,0.1134569958,NA,NA,NA,NA,NA,0.12872172615,NA,NA,NA,NA,NA,0.711916672216663,NA,NA,0.363020559285063,0.412620093495553,1,1,0.501951875933462,0.541823864424422,NA,NA,NA,0.912921469436034,NA,NA,NA,NA,NA,0.809840425531915,NA,NA,NA,NA,NA,0.799324259500593,NA,NA,0.902419883480947,1,1,1,1,1,NA,NA,NA,0.996241307005781,NA,NA,0.902419883480947,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.996322100463079,NA,NA
"feature 8",0.0055282924,0.0109022652,0.2409092493,0.1741193589,0.0462658885,-0.235274093,0.1111789942,-0.1403469645,-0.1580272153,-0.152115903,0.071420852,0.040943684,-0.0900848988,0.176580709966667,0.0603163709333333,0.266665608766667,0.150401269733333,-0.116264339033333,0.467289380558899,0.169041220476892,0.623923155495179,0.0488731254755568,0.235498310155582,0.352348918952566,1,0.0828115340910869,1,0.0737304107488028,0.631972488671239,0.546447515393541,0.506739620410995,0.198323311779571,0.445871774637843,0.155891392207547,0.290000295079985,0.54550486959423,0.120879120879121,0.031968031968032,0.494505494505495,0.102897102897103,0.401598401598402,0.707292707292707,0.40009254576534,0.0965640696952065,0.617622429940093,0.0452330912321565,0.268991852311045,0.343648123797232,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,0.446525628755464,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 9",0.2461735023,0.5745540557,NA,NA,-0.6908962234,NA,NA,NA,-0.0803437293,NA,NA,NA,0.749576205833333,NA,NA,NA,NA,NA,0.142781190943437,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,0.745943830853725,0.756954867482574,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 10",0.471875814,-0.9869140657,0.2443289577,0.3291617656,0.5664259417,0.380020444,0.2263177563,-2.434812294,0.1403550607,-1.4131803545,0.2025754931,0.3723929657,-1.06624359753333,-0.1684782031,-0.970638126366667,0.897765394433333,0.0956054711666666,-0.802159923266667,0.148242637284622,0.809712709577105,0.184338465423975,0.216664252274278,0.89120434054188,0.266041049071695,0.0794705393060497,0.0763617419847491,0.0622496749590971,0.348067582415609,1,0.0980206929789156,0.128499752514628,0.410341649418963,0.484020485551786,0.278038977999165,1,0.96815753855631,0.115884115884116,0.0949050949050949,0.330669330669331,0.135864135864136,0.750642673521851,0.493506493506494,0.182069459257433,0.321764711246984,0.405828295443189,0.238774796446086,0.934362875302037,0.47873856938598,1,1,0.760035931670173,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,0.902419883480947,0.415407876397035,0.190008982917543,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
